Datetime,Open,High,Low,Close,Adj Close,Volume
2024-03-06 09:30:00-05:00,510.54998779296875,510.78131103515625,510.3500061035156,510.489990234375,510.489990234375,1813340
2024-03-06 09:31:00-05:00,510.4700012207031,510.7699890136719,510.45001220703125,510.6600036621094,510.6600036621094,385905
2024-03-06 09:32:00-05:00,510.6600036621094,510.739990234375,510.57000732421875,510.6199951171875,510.6199951171875,278665
2024-03-06 09:33:00-05:00,510.6199951171875,510.85040283203125,510.6099853515625,510.739990234375,510.739990234375,284348
2024-03-06 09:34:00-05:00,510.739990234375,510.7405090332031,510.3800048828125,510.3999938964844,510.3999938964844,258004
2024-03-06 09:35:00-05:00,510.3999938964844,510.510009765625,510.1700134277344,510.30999755859375,510.30999755859375,370052
2024-03-06 09:36:00-05:00,510.2900085449219,510.3999938964844,510.0199890136719,510.0199890136719,510.0199890136719,334862
2024-03-06 09:37:00-05:00,510.0150146484375,510.0400085449219,509.80999755859375,509.82000732421875,509.82000732421875,446986
2024-03-06 09:38:00-05:00,509.8299865722656,509.9800109863281,509.7099914550781,509.760009765625,509.760009765625,218463
2024-03-06 09:39:00-05:00,509.760009765625,509.95001220703125,509.7099914550781,509.92999267578125,509.92999267578125,182612
2024-03-06 09:40:00-05:00,509.92999267578125,510.1400146484375,509.875,510.11871337890625,510.11871337890625,186201
2024-03-06 09:41:00-05:00,510.1099853515625,510.19000244140625,510.0,510.0199890136719,510.0199890136719,149912
2024-03-06 09:42:00-05:00,510.0299987792969,510.1300048828125,509.92889404296875,510.05999755859375,510.05999755859375,162848
2024-03-06 09:43:00-05:00,510.0799865722656,510.18011474609375,509.989990234375,510.0799865722656,510.0799865722656,126772
2024-03-06 09:44:00-05:00,510.1549987792969,510.1549987792969,510.1549987792969,510.1549987792969,510.1549987792969,162345
2024-03-06 09:45:00-05:00,510.1499938964844,510.3599853515625,510.1499938964844,510.19000244140625,510.19000244140625,204327
2024-03-06 09:46:00-05:00,510.17999267578125,510.2301025390625,509.9100036621094,510.01251220703125,510.01251220703125,175943
2024-03-06 09:47:00-05:00,509.9905090332031,510.0799865722656,509.8500061035156,509.9100036621094,509.9100036621094,141693
2024-03-06 09:48:00-05:00,509.8999938964844,510.0199890136719,509.8811950683594,509.9200134277344,509.9200134277344,168818
2024-03-06 09:49:00-05:00,509.92999267578125,510.06500244140625,509.8999938964844,510.010009765625,510.010009765625,122769
2024-03-06 09:50:00-05:00,510.0,510.0,509.79998779296875,509.81500244140625,509.81500244140625,138292
2024-03-06 09:51:00-05:00,509.79998779296875,509.9700012207031,509.7349853515625,509.885009765625,509.885009765625,159997
2024-03-06 09:52:00-05:00,509.8800048828125,510.1300048828125,509.8580017089844,510.04998779296875,510.04998779296875,103049
2024-03-06 09:53:00-05:00,510.04998779296875,510.1000061035156,509.8216857910156,509.8900146484375,509.8900146484375,140466
2024-03-06 09:54:00-05:00,509.8900146484375,510.0299987792969,509.8900146484375,509.989990234375,509.989990234375,92720
2024-03-06 09:55:00-05:00,510.0050048828125,510.1400146484375,509.8900146484375,509.9200134277344,509.9200134277344,130298
2024-03-06 09:56:00-05:00,509.9299011230469,510.1099853515625,509.9299011230469,510.0299987792969,510.0299987792969,106061
2024-03-06 09:57:00-05:00,510.0199890136719,510.0299987792969,509.7699890136719,509.7900085449219,509.7900085449219,121078
2024-03-06 09:58:00-05:00,509.7799987792969,509.82000732421875,509.6499938964844,509.7250061035156,509.7250061035156,135189
